Freq,Posting_ptr,Terms_ptr
2,"[70, 47]",4448
1,[6],4452
3,"[64, 64, 64]",4458
4,"[13, 13, 13, 13]",4466
1,[5],4474
1,[73],4483
1,[17],4487
3,"[18, 18, 18]",4492
10,"[11, 85, 85, 11, 59, 59, 59, 68, 11, 60]",4500
6,"[13, 71, 7, 0, 11, 71]",4507
1,[11],4511
1,[31],4514
3,"[42, 67, 42]",4519
1,[0],4525
1,[54],4531
1,[62],4538
1,[24],4544
1,[24],4548
9,"[2, 19, 59, 78, 62, 47, 81, 43, 41]",4555
1,[18],4561
1,[62],4566
2,"[64, 37]",4571
2,"[22, 12]",4575
1,[59],4582
14,"[59, 31, 59, 39, 15, 76, 54, 51, 63, 59, 30, 59, 55, 80]",4588
1,[83],4595
1,[0],4599
1,[39],4605
4,"[68, 22, 64, 81]",4613
31,"[15, 30, 40, 43, 14, 59, 39, 15, 47, 16, 4, 72, 59, 3, 38, 47, 5, 3, 59, 5, 61, 71, 6, 6, 68, 36, 13, 6, 78, 6, 77]",4617
1,[31],4619
1,[46],4625
1,[41],4638
1,[17],4648
1,[25],4661
3,"[59, 59, 65]",4670
1,[7],4680
1,[10],4685
14,"[12, 67, 19, 17, 5, 8, 30, 22, 2, 25, 38, 14, 49, 13]",4688
1,[82],4697
3,"[60, 5, 6]",4702
1,[54],4707
3,"[13, 17, 23]",4712
1,[8],4721
1,[3],4730
1,[3],4735
1,[56],4742
1,[41],4750
1,[8],4762
2,"[15, 53]",4772
1,[66],4781
1,[33],4789
1,[54],4793
1,[80],4801
2,"[85, 46]",4807
1,[3],4815
2,"[6, 6]",4821
13,"[24, 24, 60, 60, 54, 5, 9, 3, 10, 36, 61, 33, 9]",4828
2,"[67, 22]",4836
3,"[48, 47, 44]",4845
1,[81],4852
2,"[37, 37]",4859
1,[59],4865
1,[59],4874
1,[13],4884
2,"[75, 75]",4890
5,"[64, 62, 83, 38, 47]",4898
1,[46],4906
1,[57],4912
1,[12],4920
4,"[26, 53, 58, 13]",4926
1,[55],4935
1,[35],4942
1,[5],4948
3,"[72, 72, 72]",4955
1,[47],4960
1,[55],4966
1,[16],4972
1,[27],4978
3,"[68, 68, 68]",4987
1,[69],4993
3,"[64, 64, 64]",4999
2,"[58, 16]",5003
1,[8],5012
1,[50],5021
1,[11],5028
4,"[12, 12, 22, 22]",5033
5,"[63, 20, 20, 20, 62]",5038
1,[86],5044
1,[3],5050
1,[82],5057
1,[3],5064
1,[23],5070
1,[21],5079
5,"[65, 65, 16, 16, 65]",5087
1,[27],5095
1,[1],5104
1,[72],5114
2,"[80, 43]",5123
2,"[51, 3]",5128
1,[39],5134
9,"[14, 34, 66, 21, 49, 13, 6, 21, 34]",5140
2,"[48, 47]",5150
1,[81],5159
19,"[40, 86, 50, 76, 84, 47, 35, 13, 78, 69, 71, 35, 63, 27, 44, 70, 85, 59, 37]",5167
3,"[59, 36, 14]",5171
1,[48],5177
1,[28],5181
1,[20],5190
1,[15],5199
1,[6],5205
2,"[44, 1]",5213
1,[31],5217
1,[64],5224
1,[44],5229
9,"[39, 47, 47, 39, 47, 39, 39, 47, 47]",5235
1,[43],5243
1,[62],5247
7,"[33, 18, 30, 61, 26, 58, 77]",5257
16,"[17, 17, 5, 54, 6, 17, 27, 54, 17, 60, 23, 34, 18, 17, 17, 50]",5259
4,"[51, 26, 46, 52]",5264
3,"[57, 20, 52]",5271
2,"[29, 62]",5279
1,[29],5286
3,"[9, 34, 43]",5294
1,[59],5301
1,[21],5310
1,[2],5317
1,[44],5327
1,[47],5338
2,"[54, 54]",5342
1,[54],5348
1,[2],5358
1,[66],5368
6,"[10, 24, 10, 10, 24, 24]",5374
9,"[18, 71, 31, 18, 18, 71, 71, 16, 18]",5380
1,[82],5384
1,[57],5390
1,[9],5396
46,"[40, 39, 59, 59, 60, 59, 26, 36, 38, 26, 59, 59, 56, 63, 55, 25, 54, 30, 38, 59, 43, 46, 38, 58, 67, 58, 38, 85, 67, 41, 55, 20, 44, 47, 31, 59, 59, 42, 64, 20, 80, 24, 86, 60, 53, 59]",5401
2,"[42, 42]",5405
1,[79],5410
3,"[64, 64, 64]",5416
1,[42],5420
1,[47],5426
1,[46],5432
1,[74],5435
1,[29],5439
1,[83],5443
2,"[29, 24]",5448
3,"[70, 77, 84]",5452
1,[47],5459
8,"[63, 13, 63, 3, 43, 61, 68, 3]",5463
1,[9],5470
1,[69],5479
9,"[27, 42, 35, 24, 34, 49, 18, 47, 54]",5485
4,"[20, 62, 52, 20]",5493
3,"[29, 26, 30]",5497
1,[6],5503
1,[69],5510
1,[50],5513
